date_time,location,indicator,value,unit
2021-04-07T20:03:15Z,top,pm2.5,3,uq_m3
2021-04-07T20:03:15Z,top,pm10,17.8,uq_m3
2021-04-07T20:08:55Z,top,pm2.5,2.65,uq_m3
2021-04-07T20:08:55Z,top,pm10,16.5,uq_m3
2021-04-07T20:14:35Z,top,pm2.5,2.9,uq_m3
2021-04-07T20:14:35Z,top,pm10,21.4,uq_m3
2021-04-07T20:20:16Z,top,pm2.5,3.6,uq_m3
2021-04-07T20:20:16Z,top,pm10,18.55,uq_m3
2021-04-07T20:25:56Z,top,pm2.5,4.1,uq_m3
2021-04-07T20:25:56Z,top,pm10,19.8,uq_m3
2021-04-07T20:31:36Z,top,pm2.5,4.55,uq_m3
2021-04-07T20:31:36Z,top,pm10,20.15,uq_m3
2021-04-07T20:37:16Z,top,pm2.5,5.4,uq_m3
2021-04-07T20:37:16Z,top,pm10,20.9,uq_m3
2021-04-07T20:42:56Z,top,pm2.5,5.45,uq_m3
2021-04-07T20:42:56Z,top,pm10,26.95,uq_m3
2021-04-07T20:48:37Z,top,pm2.5,3.7,uq_m3
2021-04-07T20:48:37Z,top,pm10,16.65,uq_m3
2021-04-07T20:54:17Z,top,pm2.5,3.1,uq_m3
2021-04-07T20:54:17Z,top,pm10,13.9,uq_m3
2021-04-07T20:59:57Z,top,pm2.5,11.05,uq_m3
2021-04-07T20:59:57Z,top,pm10,245.85,uq_m3
2021-04-07T21:05:37Z,top,pm2.5,11.4,uq_m3
2021-04-07T21:05:37Z,top,pm10,219.25,uq_m3
2021-04-07T21:11:17Z,top,pm2.5,4.4,uq_m3
2021-04-07T21:11:17Z,top,pm10,33.9,uq_m3
2021-04-07T21:16:57Z,top,pm2.5,5.9,uq_m3
2021-04-07T21:16:57Z,top,pm10,41.6,uq_m3
2021-04-07T21:22:38Z,top,pm2.5,5.7,uq_m3
2021-04-07T21:22:38Z,top,pm10,29.65,uq_m3
2021-04-07T21:28:18Z,top,pm2.5,4.8,uq_m3
2021-04-07T21:28:18Z,top,pm10,22.5,uq_m3
2021-04-07T21:33:58Z,top,pm2.5,3.7,uq_m3
2021-04-07T21:33:58Z,top,pm10,13.5,uq_m3
2021-04-07T21:39:38Z,top,pm2.5,3.4,uq_m3
2021-04-07T21:39:38Z,top,pm10,17.2,uq_m3
2021-04-07T21:45:18Z,top,pm2.5,3.1,uq_m3
2021-04-07T21:45:18Z,top,pm10,20.45,uq_m3
2021-04-07T21:50:58Z,top,pm2.5,2.75,uq_m3
2021-04-07T21:50:58Z,top,pm10,13.65,uq_m3
2021-04-07T21:56:39Z,top,pm2.5,2.4,uq_m3
2021-04-07T21:56:39Z,top,pm10,10.55,uq_m3
2021-04-07T22:02:19Z,top,pm2.5,2.75,uq_m3
2021-04-07T22:02:19Z,top,pm10,15.1,uq_m3
2021-04-07T22:07:59Z,top,pm2.5,3,uq_m3
2021-04-07T22:07:59Z,top,pm10,19.95,uq_m3
2021-04-07T22:13:39Z,top,pm2.5,3.6,uq_m3
2021-04-07T22:13:39Z,top,pm10,30.75,uq_m3
2021-04-07T22:19:19Z,top,pm2.5,4,uq_m3
2021-04-07T22:19:19Z,top,pm10,33.2,uq_m3
2021-04-07T22:24:59Z,top,pm2.5,4.95,uq_m3
2021-04-07T22:24:59Z,top,pm10,37.9,uq_m3
2021-04-07T22:30:40Z,top,pm2.5,6.8,uq_m3
2021-04-07T22:30:40Z,top,pm10,28.75,uq_m3
2021-04-07T22:36:20Z,top,pm2.5,5.1,uq_m3
2021-04-07T22:36:20Z,top,pm10,18.7,uq_m3
2021-04-07T22:42:00Z,top,pm2.5,4.5,uq_m3
2021-04-07T22:42:00Z,top,pm10,25.05,uq_m3
2021-04-07T22:47:40Z,top,pm2.5,4.1,uq_m3
2021-04-07T22:47:40Z,top,pm10,28.95,uq_m3
2021-04-07T22:53:20Z,top,pm2.5,4.95,uq_m3
2021-04-07T22:53:20Z,top,pm10,32.8,uq_m3
2021-04-07T22:59:00Z,top,pm2.5,3.9,uq_m3
2021-04-07T22:59:00Z,top,pm10,22.7,uq_m3
2021-04-07T23:04:41Z,top,pm2.5,3.3,uq_m3
2021-04-07T23:04:41Z,top,pm10,19.15,uq_m3
2021-04-07T23:10:21Z,top,pm2.5,3.2,uq_m3
2021-04-07T23:10:21Z,top,pm10,18.45,uq_m3
2021-04-07T23:16:01Z,top,pm2.5,3.3,uq_m3
2021-04-07T23:16:01Z,top,pm10,19.1,uq_m3
2021-04-07T23:21:41Z,top,pm2.5,3.3,uq_m3
2021-04-07T23:21:41Z,top,pm10,17.05,uq_m3
2021-04-07T23:27:21Z,top,pm2.5,3.5,uq_m3
2021-04-07T23:27:21Z,top,pm10,14.6,uq_m3
2021-04-07T23:33:01Z,top,pm2.5,3.25,uq_m3
2021-04-07T23:33:01Z,top,pm10,20.65,uq_m3
2021-04-07T23:38:42Z,top,pm2.5,3,uq_m3
2021-04-07T23:38:42Z,top,pm10,18.5,uq_m3
2021-04-07T23:44:22Z,top,pm2.5,3,uq_m3
2021-04-07T23:44:22Z,top,pm10,14.85,uq_m3
2021-04-07T23:50:02Z,top,pm2.5,2.4,uq_m3
2021-04-07T23:50:02Z,top,pm10,15.2,uq_m3
2021-04-07T23:55:42Z,top,pm2.5,2.2,uq_m3
2021-04-07T23:55:42Z,top,pm10,9.3,uq_m3
2021-04-08T00:01:22Z,top,pm2.5,2.3,uq_m3
2021-04-08T00:01:22Z,top,pm10,9.95,uq_m3
2021-04-08T00:07:02Z,top,pm2.5,2.3,uq_m3
2021-04-08T00:07:02Z,top,pm10,12.2,uq_m3
2021-04-08T00:12:42Z,top,pm2.5,2.7,uq_m3
2021-04-08T00:12:42Z,top,pm10,11.15,uq_m3
2021-04-08T00:18:23Z,top,pm2.5,2.3,uq_m3
2021-04-08T00:18:23Z,top,pm10,10.5,uq_m3
2021-04-08T00:24:03Z,top,pm2.5,2.6,uq_m3
2021-04-08T00:24:03Z,top,pm10,10.15,uq_m3
2021-04-08T00:29:43Z,top,pm2.5,2.5,uq_m3
2021-04-08T00:29:43Z,top,pm10,12.85,uq_m3
2021-04-08T00:35:23Z,top,pm2.5,2.5,uq_m3
2021-04-08T00:35:23Z,top,pm10,13.15,uq_m3
2021-04-08T00:41:03Z,top,pm2.5,2.4,uq_m3
2021-04-08T00:41:03Z,top,pm10,9.1,uq_m3
2021-04-08T00:46:44Z,top,pm2.5,2.3,uq_m3
2021-04-08T00:46:44Z,top,pm10,7.7,uq_m3
2021-04-08T00:52:24Z,top,pm2.5,2.9,uq_m3
2021-04-08T00:52:24Z,top,pm10,23.85,uq_m3
2021-04-08T00:58:04Z,top,pm2.5,2.8,uq_m3
2021-04-08T00:58:04Z,top,pm10,17.25,uq_m3
2021-04-08T01:03:44Z,top,pm2.5,3.2,uq_m3
2021-04-08T01:03:44Z,top,pm10,18.95,uq_m3
2021-04-08T01:09:24Z,top,pm2.5,2.5,uq_m3
2021-04-08T01:09:24Z,top,pm10,16,uq_m3
2021-04-08T01:15:05Z,top,pm2.5,2.6,uq_m3
2021-04-08T01:15:05Z,top,pm10,13.5,uq_m3
2021-04-08T01:20:45Z,top,pm2.5,2.4,uq_m3
2021-04-08T01:20:45Z,top,pm10,8.5,uq_m3
2021-04-08T01:26:25Z,top,pm2.5,2.5,uq_m3
2021-04-08T01:26:25Z,top,pm10,7.5,uq_m3
2021-04-08T01:32:05Z,top,pm2.5,2.6,uq_m3
2021-04-08T01:32:05Z,top,pm10,11.9,uq_m3
2021-04-08T01:37:45Z,top,pm2.5,2.6,uq_m3
2021-04-08T01:37:45Z,top,pm10,13.45,uq_m3
2021-04-08T01:43:26Z,top,pm2.5,2.3,uq_m3
2021-04-08T01:43:26Z,top,pm10,10.2,uq_m3
2021-04-08T01:49:06Z,top,pm2.5,2.9,uq_m3
2021-04-08T01:49:06Z,top,pm10,14.15,uq_m3
2021-04-08T01:54:46Z,top,pm2.5,3.1,uq_m3
2021-04-08T01:54:46Z,top,pm10,12.65,uq_m3
2021-04-08T02:00:26Z,top,pm2.5,2.7,uq_m3
2021-04-08T02:00:26Z,top,pm10,12,uq_m3
2021-04-08T02:06:06Z,top,pm2.5,2.5,uq_m3
2021-04-08T02:06:06Z,top,pm10,10.15,uq_m3
2021-04-08T02:11:46Z,top,pm2.5,2.6,uq_m3
2021-04-08T02:11:46Z,top,pm10,11.35,uq_m3
2021-04-08T02:17:27Z,top,pm2.5,3.4,uq_m3
2021-04-08T02:17:27Z,top,pm10,10.75,uq_m3
2021-04-08T02:23:07Z,top,pm2.5,9.2,uq_m3
2021-04-08T02:23:07Z,top,pm10,27.9,uq_m3
2021-04-08T02:28:47Z,top,pm2.5,7.7,uq_m3
2021-04-08T02:28:47Z,top,pm10,27.15,uq_m3
2021-04-08T02:34:27Z,top,pm2.5,5.6,uq_m3
2021-04-08T02:34:27Z,top,pm10,20.2,uq_m3
2021-04-08T02:40:07Z,top,pm2.5,3.1,uq_m3
2021-04-08T02:40:07Z,top,pm10,11.6,uq_m3
2021-04-08T02:45:47Z,top,pm2.5,3,uq_m3
2021-04-08T02:45:47Z,top,pm10,12.5,uq_m3
2021-04-08T02:51:28Z,top,pm2.5,3.15,uq_m3
2021-04-08T02:51:28Z,top,pm10,12.35,uq_m3
